date,rate,review,weekday
23-12-06,5.0,저렴하게 구매했어요.,Wednesday
23-12-05,5.0,잘받았어요  사이즈가 작어서 좋네요  많이파세요,Tuesday
23-11-27,5.0,배송빠르고  안전하게 왔어요,Monday
23-11-23,5.0,배송빠르고 안전하게 왔어요,Thursday
23-11-15,5.0,배송도 빠르고 다른곳보다 포장이 꼼껌했어요,Wednesday
23-11-14,5.0,크기가 작아 가끔 마시고 싶을때 부담없이 마실 수 있어 좋아요,Tuesday
23-11-14,5.0,코카콜라 저렴하게 샀어요,Tuesday
23-11-10,5.0,한번 먹기 좋은 사이즈라 자주 구매합니다,Friday
23-11-10,5.0,항상주문합니다 맛나요,Friday
23-10-30,5.0,항상 주문하는 제품 만족해요,Monday
23-10-08,5.0,빠른배송감사합니다.,Sunday
23-07-23,5.0,야외에서 작업할 때 시원한 아이스팩과 같이 넣어 두었다가 더울때 꺼내 먹어요 청량하고 좋습니다!,Sunday
23-07-23,5.0,야외에서 작업할 때 시원한 아이스팩과 같이 넣어 두었다가 더울때 꺼내 먹어요 청량하고 좋습니다!,Sunday
24-09-01,4.0,제로산다는게 잘못사서ㅜㅜ 아웃 박스포장좀 해주세요,Sunday
24-08-25,3.0,코카콜라 190캔 30입  도착 했습니다,Sunday
24-08-24,4.0,빠른 배송 좋습니다.,Saturday
24-05-09,5.0,최고예요!,Thursday
24-04-23,5.0,좋아요,Tuesday
24-03-29,5.0,자주 구매하는 제품입니다,Friday
24-03-28,5.0,느끼한거 먹을때  꼭 필요해서 늘 구매합니다,Thursday
24-03-27,5.0,맛있어요 맛있어요..,Wednesday
24-03-27,5.0,늘 사던 제품이에요,Wednesday
24-03-23,5.0,구매결과만족합니다.,Saturday
24-03-14,5.0,빠른배송으로잘받았습니다,Thursday
24-03-14,5.0,맛있어서 자주 구매합니다,Thursday
24-03-12,5.0,회사간식으로 자주구매하는 품목입니다,Tuesday
24-03-11,5.0,냉장고에 늘 구비해놓는 아이템입니다,Monday
24-03-10,5.0,여기가 제일 저렴해요,Sunday
24-03-10,5.0,배송빠르고좋아요 굳국,Sunday
24-03-08,5.0,배송도빠르고 만족합니다,Friday
24-03-06,5.0,회사 간식으로 너무 좋아요!,Wednesday
24-03-04,5.0,잘 받았습니다 감사합니다,Monday
24-03-03,5.0,좋아요 잘 마시고 있습니다,Sunday
24-03-02,5.0,좋아요 좋아요 좋아여,Saturday
24-03-01,5.0,좋아요. 자주구매 하고 있어요.,Friday
24-03-01,5.0,싸게구매해서 잘먹었어요,Friday
24-03-01,5.0,"기대이상으로 좋고, 매우 만족합니다",Friday
24-03-01,5.0,항상구매하는제품 재구매할께요,Friday
24-03-01,5.0,가성비 좋은 제품입니다,Friday
24-02-28,5.0,작은 사이즐ㅏ 먹기 편해요,Wednesday
24-02-27,5.0,항상 구매하는 제품입니다.,Tuesday
24-02-26,5.0,좋아요 맛있어요 맛있습니다.,Monday
24-02-26,5.0,사무실 간식으로 주문했는데 팀원들 만족도가 아주 높습니다,Monday
24-02-25,5.0,콜라 저렴하게 잘구매했어요!,Sunday
24-02-23,5.0,항상 애용하는 제품입니다,Friday
24-02-23,5.0,좋아요 추천합니다.,Friday
24-02-23,5.0,맛있어요 사무실 간식,Friday
24-02-22,5.0,good  good,Thursday
24-02-20,5.0,코카콜라 너무 맛있습니다,Tuesday
24-02-20,5.0,가격만 빼면 매우 만족합니다,Tuesday
24-02-19,5.0,자주 구매해서 먹고있어요!,Monday
24-02-14,5.0,냉장고에 두고 마시기좋아요. 아이들이 하루에 2캔씩은 그냥 마시네요,Wednesday
24-02-14,5.0,세일해서 득템했어요.,Wednesday
24-02-14,5.0,저렴해서 좋아여,Wednesday
24-02-13,5.0,늘 구매하는 제품이에요,Tuesday
24-02-08,5.0,싸고조으네요 빨라요,Thursday
24-02-07,5.0,늘먹덤거라 좋아뇨 굿,Wednesday
24-02-06,5.0,잘받았습니다 감사합니다,Tuesday
24-02-05,5.0,배송도빠르고 잘받았습니다,Monday
24-02-02,5.0,배송 빠르고 좋네요,Friday
24-02-02,5.0,행사해서 샀어요 가성비가 좋은 제품 입니다,Friday
24-02-02,5.0,좋아요 좋아요 좋아요,Friday
24-02-02,5.0,콜라가 보통 뚱캔으로 많이 나오는데 양이 작아서 마시기 부담없어서 좋고 가격도 좋네요.,Friday
24-02-01,5.0,사무실에서 먹기 좋아요.,Thursday
24-02-01,5.0,"기대이상으로 좋고, 매우 만족합니다",Thursday
24-01-30,5.0,이 사이즈가 다 먹어서 좋아요,Tuesday
24-01-29,5.0,쓱배송 편하고 좋아요ㅎㅎ,Monday
24-01-28,5.0,먹기 좋은 사이즈라 좋아요,Sunday
24-01-27,5.0,빠흔 배송 감사합니다,Saturday
24-01-27,5.0,늘애용하는상품 착한가격에득템합니다.,Saturday
24-01-26,5.0,콜라중독자인데 매번 만족해요 특히 탄산 안빠지게 간식으로 먹기에 딱좋은양! 이에요,Friday
24-01-24,5.0,배송빠르고 제품좋아요,Wednesday
24-01-22,5.0,회사 탕비실용 음료입니다!,Monday
24-01-21,5.0,늘 넉는 코카콜라 개운해요,Sunday
24-01-18,5.0,이 사이즈는 진짜 누가 만들었는지 딱 좋아요,Thursday
24-01-18,5.0,쓱배송 잘 받았습니다. 배송빠르고 꼼꼼한 포장 감사합니다.,Thursday
24-01-18,5.0,여자가하나 먹기에 딱좋은 양,Thursday
24-01-17,5.0,작은용량이라 한번에 먹기 딱 좋아요,Wednesday
24-01-14,5.0,빠른 배송 넉넉한 유통기한 적당한 사이즈 감사합니다,Sunday
24-01-13,5.0,역시나 콜라는 코크!!,Saturday
24-01-12,5.0,한번에  먹을수 있는 양이라 좋아요 가격도  맘에  들어요,Friday
24-01-10,5.0,먹기  좋은 양이어서  좋았고 가격도  만족합니다,Wednesday
24-01-09,5.0,늘사는거 강추합니당ㅋㅋ,Tuesday
24-01-09,5.0,배송도빠르고좋아요맛있어요ㅎㅎ네,Tuesday
24-01-09,5.0,배송도 빨랐고 크기도 적당해서 먹기 좋아요.,Tuesday
24-01-09,5.0,배송 감사합니다,Tuesday
24-01-08,5.0,맛있어요 맛있어요,Monday
24-01-07,5.0,자주 구매하는 상품입니다,Sunday
24-01-07,5.0,자주 구매하는 상품입니다,Sunday
24-01-04,5.0,배송 빠르고 좋습니다,Thursday
24-01-03,5.0,좋아요,Wednesday
24-01-03,5.0,집엔 항상 이것이 있어,Wednesday
24-01-02,5.0,용량이 한번 마시기 딱 좋아서 자주 주문해요,Tuesday
24-01-02,5.0,싸고 빠르고 좋아요 매번주문,Tuesday
24-01-02,5.0,암메리카노랑 먹으면 굿,Tuesday
24-01-01,5.0,좋아요..좋아요..,Monday
24-01-01,5.0,맛있게 잘먹고있어요,Monday
24-01-01,5.0,맛있어요 자주이용해요,Monday
23-12-06,5.0,캔몇개는 찌그러져서 터지기 일보직전이며 완충제 한겹없이 비닐만 잔뜩감아서 뜯기만 불편하고,Wednesday
23-11-05,5.0,탄산음료라 소포장 상태에서 탄산감을 느끼기에 적당함  늘 애용상품으로 펜트리에 쟁여놓는 아이템임,Sunday
23-10-25,5.0,"집에 탄산음료가 빠져서는 안되죠 콜라도 항상 두종류 모두 구비해 놓고 있습니다 피자, 치킨 먹을 때는 필수.. 특히 코가콜라는 기본입니다",Wednesday
