date,star_rate,review
2022.04.12,5.0,배송빠르고 늘 먹어요 역시 코크가최고
2022.04.07,5.0,2024년 넉넉한 유통기한~ 박스포장에 딱 맞게 잘 배송되었습니다!!
2022.03.29,5.0,"할인에 할인까지 감사합니당
많이 파세요"
2022.03.29,5.0,여기저기 다 가봐도 롯데가 가장 착한 가격이에요
2022.03.25,5.0,가격도 저렴하고 배송도빨라요
2022.03.24,4.0,행사할때만 기다림! 가격만족! 포장상태 만족! 또 구매합니다!
2022.03.13,5.0,콜라없이 못사는 신랑위해
2022.03.11,5.0,우리집 냉장고에 필수 제품!!! 한 번에 많은 양을 먹지 못해 적은 양을 택했는데..좋은 선택이였어요!!!
2022.03.08,5.0,"착한가격.한번마시기좋은용량.
빠른배송.완벽한조합입니다"
2022.03.04,5.0,잘 받았습니다 감사합니다
2022.03.04,5.0,잘 받았습니다 감사합니다
2022.03.04,5.0,잘 받았습니다 감사합니다
2022.02.23,5.0,"날짜도 좋고 안전하게 2중박스 포장으로
안전하게 잘받았습니다^^"
2022.02.21,5.0,행사때 저렴하게 구입했어요. 소화안될때 주로 마시는거라 작은 사이즈로 항상 구매합니다.
2022.02.17,5.0,배송도빠르고 가격도 저렴하게 구매했어요
2022.02.14,5.0,콜라는 작은게 탄산이 더 톡톡 터지는거 같아요~~
2022.02.09,5.0,최고에요 역시 코카콜라 재구매요
2022.02.06,5.0,좋은상품 저렴한 가격에 너무 잘샀습니다^^
2022.01.29,5.0,잘 받았습니다 감사합니다
2022.01.29,5.0,잘 받았습니다 감사합니다
2022.01.21,5.0,"2중 박스에 안전하게 배송 되었습니다~
맘에 들어요^^
잘먹겠습니다~"
2022.01.14,4.0,무거운대 집앞까지 배송해주시고 가격도 타쇼핑몰보다 저렴하게 잘산거같아요
2022.01.11,5.0,"따쇼핑몰보다 저렴하게 구매했어요
30개짜리 두박스라 한동안 잘먹을수있을것같아요"
2022.01.06,5.0,잘 받았습니다 감사합니다
2022.01.06,5.0,잘 받았습니다 감사합니다
2022.01.06,5.0,잘 받았습니다 감사합니다
